,inscr_N,pop_est,occups_N,DI,DIw,ZIw,DI/ZIw,Population,associations,inscriptions,D(N)
inscr_N,1.0,0.2,0.7,0.54,0.05,0.17,0.24,0.19,0.49,0.76,0.17
pop_est,0.2,1.0,0.21,-0.0,-0.18,0.1,-0.11,0.98,0.34,0.5,0.11
occups_N,0.7,0.21,1.0,0.53,-0.01,0.28,0.18,0.21,0.69,0.46,0.23
DI,0.54,-0.0,0.53,1.0,0.54,0.09,0.78,0.01,0.41,0.32,0.22
DIw,0.05,-0.18,-0.01,0.54,1.0,-0.16,0.81,-0.18,0.03,-0.05,0.03
ZIw,0.17,0.1,0.28,0.09,-0.16,1.0,-0.22,0.12,0.15,0.15,0.0
DI/ZIw,0.24,-0.11,0.18,0.78,0.81,-0.22,1.0,-0.11,0.18,0.11,0.12
Population,0.19,0.98,0.21,0.01,-0.18,0.12,-0.11,1.0,0.34,0.49,0.11
associations,0.49,0.34,0.69,0.41,0.03,0.15,0.18,0.34,1.0,0.61,0.1
inscriptions,0.76,0.5,0.46,0.32,-0.05,0.15,0.11,0.49,0.61,1.0,-0.06
D(N),0.17,0.11,0.23,0.22,0.03,0.0,0.12,0.11,0.1,-0.06,1.0
