EDCS-ID,EDH-ID,type_of_inscription_auto,not_before,not_after,clean_text_interpretive_word,occups,occups_N,occups_cats_list
EDCS-41700240,HD004129,epitaph,1.0,100.0,Lucius Campanius Luci filius Flaccus tribunus militum legionis XV II vir pontifex quaestor II aedilis praefectus fabrum et sibi et Verae uxori,['faber'],1,['Unclassified']
EDCS-18000373,HD004123,,-100.0,-31.0,Lucius Avius Marci libertus Eunicus aerarius magister fani,['aerarius'],1,['Metal-Working']
EDCS-08600107,HD001190,building/dedicatory inscription,-70.0,-31.0,Publius Confuleius Publi et Marci libertus Sabbio sagarius domum hanc ab solo us que ad summum fecit architecto Tito Safinio Titi filio Falerna Pollione,['architectus' 'sagarius'],2,"['Building', 'Retail']"
EDCS-17800417,,votive inscription,-12.0,-12.0,Publio Sulpicio Quirinio Caio Valgio consulibus Sexto Pontidio Basso Marco Iunio Celere II viris Sexto Helvio Cai filio Publio Titio Falerno aedilibus Publius Rammius Publi libertus Chrestus navigator Iovi Optimo Maximo Iovi Optimo Maximo,['navigator'],1,['Transport']
EDCS-17800434,,votive inscription,151.0,200.0,Genius theatri Lucceius Peculiaris redemptor proscaeni ex iso fecit,['redemptor'],1,['Food-Production']
EDCS-17800443,,,102.0,116.0,In honorem divi Vespasiani et divi Titi divi Vespasiani filii Imperatoris Nervae Caesaris Traiani Augusti Germanici Dacici s praefectus fabrum bis aedilis decreto decurionum,['faber'],1,['Unclassified']
EDCS-17900555,,,331.0,395.0,Argentii Brittio Praetextato viro clarissimo curatori Capuae quindecmviro consulari Byzacii comiti ordinis primi ordo et populus Hadrumetinus administranti obtulerunt et privato iam prosequente Flavio Sergio Codeo viro perfectissimo destinato provinciae poni curaverunt,['curator'],1,['Managerial']
EDCS-17900566,,,271.0,400.0,Carradii Iulio Aurelio Auxonti Leonidae viro clarissimo quaestori praetori curatori Capuensium ob multa praeclara in cives patriam que honorificentiae suae merita institutori novorum ac renovatori operum publicorum ab origine patrono omni laude dignissimo regio Compiti,['curator'],1,['Managerial']
EDCS-17900574,,epitaph,101.0,200.0,Dis Manibus sacrum Marco Veserio Marci filio Palatina Iucundiano praefecto fabrum acenso velato procuratori alimentorum viae Flaminiae II viro designato Sacria Iucunda mater,['faber'],1,['Unclassified']
EDCS-17900586,,epitaph,1.0,50.0,Caius Papius Cai libertus Salvius Caius Papius Cai libertus Apelles argentarius accensus Publi Sili consulis Papiai Cai libertae Cleopatrai patronus dignae posuit,['argentarius'],1,['Metal-Working']
EDCS-18000292,,epitaph,1.0,50.0,Quintus Alfius Quinti filius Falerna Iustus scriba II viralis et quaestorius Capuae vivus sibi fecit annum agens aetatis LV et,['scriba'],1,['Education']
EDCS-18000295,,honorific inscription,1.0,100.0,Tiberio Claudio Tiberi filio Palatina Rufino equo publico praefecto fabrum II viro quaestori honore quinquennalitatis iuvenes Augustales patrono quorum honore contentus impensa sua posuit locus datus decreto decurionum,['faber'],1,['Unclassified']
EDCS-18000296,,epitaph,171.0,200.0,Dis Manibus sacrum Marco Cornelio Marci filio Marci nepoti Publilia Iusto Acutiano IIII viro quinquennali iure dicundo quaestori rei publicae quaestori alimentorum curatori operum publicorum curatori viae Falernae auguri praefecto Tiberi Statili Severi quaglatori et patrono collegii centonariorum MMarci Cornelii Acutianus et Chrysippus et Iusta patri optimo fecerunt,['centonarius' 'curator' 'curator'],3,"['Clothing', 'Managerial', 'Managerial']"
EDCS-18000321,,,71.0,200.0,sub cura Servili Capitonis curatoris aquae,['curator'],1,['Managerial']
EDCS-18000323,,,,101.0,Alexander coloniae tabularius Privati architecti Cretae filius Alexander coloniae tabularius Privati architecti Cretae filius,['architectus' 'architectus'],2,"['Building', 'Building']"
EDCS-18000325,,honorific inscription,1.0,50.0,Caio Campanio coloniae liberto Ursulo Lupulus coloniae Capuae arcarius amico optimo,['arcarius'],1,['Finance']
EDCS-18000327,,,51.0,150.0,Macedoni Euphrosyni arcarii magister familiae Limatae Salvilla mamma,['arcarius'],1,['Finance']
EDCS-18000332,,epitaph,171.0,300.0,Dis Manibus sacrum Titus Flavius Titi libertus Salutaris Augustalis sibi et Titiriae Felicitati coniugi bene merenti negotians calcariarius vivus fecit,['negotians'],1,['Retail']
