EDCS-ID,EDH-ID,type_of_inscription_auto,not_before,not_after,clean_text_interpretive_word,occups,occups_N,occups_cats_list
EDCS-05801655,HD013460,honorific inscription,38.0,39.0,Caio Maenio Cai filio Camilia Basso aedili IIII viro magistro Herculaneo et Augustali praefecto fabrum Marci Silani Marci fili sexto Carthaginis tribuno militum legionis III Augustae quinquennali,['faber'],1,['Unclassified']
EDCS-05801900,HD030904,epitaph,218.0,230.0,Caio Caesonio Cai filio Quirina Macro Rufiniano consulari sodali Augustali comiti Imperatoris Severi Alexandri Augusti curatori rei publicae Lanivinorum II proconsuli provinciae Africae curatori aquarum et Miniciae legato Augusti pro praetore Germaniae superioris curatori alvei Tiberis curatori rei publicae Teanensium legato Augusti pro praetore provinciae Lusitaniae curatori rei publicae Tarracinensium proconsuli provinciae Achaiae legato legionis VII Claudiae curatori rei publicae Asculanorum legato provinciae Asiae praetori legato provinciae Baeticae tribuno plebis quaestori provinciae Narbonensis tribuno militum legionis I adiutricis donato donis militaribus a divo Marco III viro capitali patri dulcissimo et incomparabili Caesonius Lucillus filius consularis,['curator' 'curator' 'curator' 'curator' 'curator' 'curator'],6,"['Managerial', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Managerial']"
EDCS-05801902,HD030907,,239.0,254.0,Lucius Caesonius Cai filius Quirina Lucillus Macer Rufinianus consul frater Arvalis praefectus urbi electus ad cognoscendas vice Caesaris cognitiones proconsul provinciae Africae XX viros ex senatus consulto rei publicae curandae curator aquarum et Miniciae curator albei Tyberis et cloacarum urbis legatus provinciae Africae eodem tempore vice proconsulis curator rei publicae Puteolanorum curator rei publicae Suessanorum praetor kandidatus quaestor kandidatus electus in familiam patriciam X vir stlitibus iudicandis,['curator' 'curator' 'curator' 'curator'],4,"['Managerial', 'Managerial', 'Managerial', 'Managerial']"
EDCS-05801529,,,51.0,150.0,Fortunae praetoriae sacrum Lucius Mucius Nicephor magister Herculaneus Augustalis Cnaeus Coponius Epagatus curator primi de sua pecunia cultoribus donum dederunt,['curator'],1,['Managerial']
EDCS-05801533,,votive inscription,1.0,100.0,Herculi Victori votum solvit Caius Iulius Cai filius Palatina Rufus tribunus militum bis fani curator viator quaestorius ab aerario Saturni,['aerarius' 'curator'],2,"['Metal-Working', 'Managerial']"
EDCS-05801537,,,41.0,70.0,Caius Vibius Cai filius Velina Publilianus scriba quaestorius praefectus cohortis IIII Thracum equitatae tribunus militum bis legionis IIII Macedonicae et legionis XXI Rapacis in Germania reversus inde Herculi Invicto donum dedit,['scriba'],1,['Education']
EDCS-05801550,,votive inscription,1.0,200.0,Publius Flavius Spuri filius Camilia Decimus Publius Flavius Palestricus Herculaneus Augustalis Marcus Trebienus Tiburtinus Herculaneus Augustalis curatores cultoribus domus divinae et Fortunae Augustae Lares Augustos donum dederunt,['curator'],1,['Managerial']
EDCS-05801577,,honorific inscription,201.0,250.0,Publio Aelio Coerano consuli proconsuli provinciae Macedoniae legato legionis VIII Augustae iuridico per Flaminiam et Umbriam praetori urbano tribuno plebei andidato quaestori IIII viro iure dicundo fratri Arvali curatori civitatum Antiatium et Aquinatium patrono et flamini Diali Tiburti decuriones Tiburtes,['curator'],1,['Managerial']
EDCS-05801583,,honorific inscription,201.0,238.0,Tito Clodio Marci filio Pupieno Pulchro Maximo clarissimo viro consuli curatori aedium sacrarum et operum publicorum curatori rei publicae Beneventanorum electo iudicio sacro ad census acceptandos per provinciam elgicam curatori rei publicae Leptimagnensium et Tripolitanorum vice operum publicorum proconsuli provinciae Macedonicae curatori rei publicae Catinensium praetori urbano quaestori kandidato XV viro sacris faciundis triumviro monetali patrono municipii senatus populus que Tiburs,['curator' 'curator' 'curator' 'curator'],4,"['Managerial', 'Managerial', 'Managerial', 'Managerial']"
EDCS-05801591,,honorific inscription,172.0,172.0,Publio Mummio Publi filio Galeria Sisennae Rutiliano consuli auguri proconsuli provinciae Asiae legato Augusti pro praetore Moesiae superioris praefecto alimentorum per Aemiliam praefecto aerarii Saturni legato legionis VI Victricis praetori tribuno plebis quaestori tribuno legionis V Macedonicae X viro stlitibus iudicandis patrono municipii curatori fani Herculis Victoris salio Herculanii Augustales locus datus decreto decurionum,['aerarius' 'curator'],2,"['Metal-Working', 'Managerial']"
