EDCS-ID,EDH-ID,type_of_inscription_auto,not_before,not_after,clean_text_interpretive_word,occups,occups_N,occups_cats_list
EDCS-16000492,HD027088,,151.0,300.0,Deae Minervae Restitutus Gati filius Suessio aerarius votum solvit libens merito,['aerarius'],1,['Metal-Working']
EDCS-11801053,HD049050,epitaph,171.0,230.0,Fortunato negotiatori artis cervesariae ONT MN,['negotiator'],1,['Retail']
EDCS-10600409,HD076371,votive inscription,151.0,300.0,In honorem domus divinae Genio arenariorum consistentium colonia Augusta Treverorum Axsillius Avitus sive Sacruna donum dedit,['arenarius'],1,['Performing Arts']
EDCS-10600434,HD076429,votive inscription,1.0,300.0,In honorem domus divinae Moderatius Modestus us Ca negotiatores,['negotiator'],1,['Retail']
EDCS-10600472,HD078372,epitaph,1.0,300.0,coniugi negotiatori artis R sibi viva fecit,['negotiator'],1,['Retail']
EDCS-12000749,HD076322,votive inscription,268.0,300.0,In honorem domus divinae deae Dianae Numini Sanctissimo Anulinus Polibius nummularius sacrae monetae Augusti nostri ex voto posuit votum solvit libens merito,['nummularius'],1,['Finance']
EDCS-12000751,HD020615,votive inscription,161.0,211.0,Numinibus Augustorum deo Intarabo et Genio collegii fabrorum dolabrariorum quibus splendidissimus ordo templum sicut consaeptum est au curam agente Magissio Maina tum praefecto eorum decuria I Borinius Meritus Latinius Veco Covirius Saturn Iulius Sevianus Arvescius Nitius Mercatorius I Quad I II Ioincionius Securius I Mainutius Ner Quintius III So manius Lucinus Ioincionius Cossus Ilvatius Primanus Mansuetius Primus Dagissius AI I inus Excingonius Secundus Covirius Tertius Secundius Secundinus Mainutius Silvinus Secundius Primus I A I I issius A IIOTLG Messorius Primus Iulius saN Blussinius Sennaugus Victorius Rusticus Iulius Lallus Secundius Secundinus VI VOIIV Vi alti I iallus Drappus Maciatus ustic us va H ciaNus ammiN SOIV S AV I C decuria II Lal III I C I CI BeIbu II II OII Romac I r Secundius Ibli Secundius Ses Lugissius,['faber dolabrarius'],1,['Metal-Working']
EDCS-11201764,HD023872,votive inscription,201.0,300.0,miles classis Germanicae Antoninianae piae fidelis negotiator cervesarius artis offecturae ex voto pro meritis posuit,['negotiator cervesarius'],1,['Retail']
,HD078992,identification inscription,151.0,200.0,macellarii cauponem est,['macellarius' 'caupo'],2,"['Food-Production', 'Retail']"
EDCS-73400286,,,151.0,200.0,macellarii cauponem est,['macellarius' 'caupo'],2,"['Food-Production', 'Retail']"
