Term,gen_sg,Vocab_nom_sg,Source,HISCO_majorgroup,HISCO_minorgroup,Harris_Category,Subcategory,Translation_eng
abetarius,i,,Petrikovits 1981a,8,81,Building,Wood worker,"a joiner, wood worker"
abietarius,i,,Petrikovits 1981a,8,81,Building,Wood worker,"a joiner, wood worker"
acceptor,oris,acceptor,Waltzing - Rome,3,31,Finance,,"collector, gold quality checker"
accomodator,oris,,Petrikovits 1981a,9,99,Unclear meaning,,"uncertain, craftsman"
aceptor,oris,,Petrikovits 1981a,3,31,Finance,,"collector, gold quality checker"
aciscularius,i,,Petrikovits 1981a,9,95,Building,,"craftsman, working with small axe"
acuarius,i,,Petrikovits 1981a,8,83,Metal-Working,,manufacturer or seller of needles
acuclarius,i,,Petrikovits 1981a,8,83,Metal-Working,,manufacturer or seller of needles
acucularius,i,,Petrikovits 1981b,8,83,Metal-Working,,manufacturer or seller of a small pin for a head-dress
acutarius,i,,Petrikovits 1981a,8,83,Metal-Working,,manufacturer or seller of a pointy objects
acutiator,oris,,Petrikovits 1981a,6,61,Food-Production,,"grindworker, grindmaster"
adulterator,oris,,Petrikovits 1981a,3,39,Finance,,coin counterfeiter
aedifex,icis,,Petrikovits 1981a,0,2,Building,,builder
aedificator,oris,,Petrikovits 1981a,0,2,Building,,"builder, architect"
aeneator,oris,aeneator,Waltzing - Rome,1,17,Performing Arts,,"musician, one who blows a horn in war
"
aequator monetae,oris,aequator,Petrikovits 1981a,3,31,Finance,,"one who, in the coining of money, examines the equality of its weight, an assizer"
aerarius,i,aerarius,Waltzing - Rome,8,83,Metal-Working,,metal worker
agricola,ae,agricola,Petra's addition,6,62,Food-Production,,"a husbandman, agriculturist, ploughman, farmer, peasant"
agrimensor,oris,,Petrikovits 1981a,0,2,Miscellaneous Services,,a landsurveyor
agrimesor,oris,,Petrikovits 1981a,0,2,Miscellaneous Services,,a landsurveyor
albarius,i,,Petrikovits 1981a,9,95,Building,,"worker in stucco, a plasterer"
alicarius,i,,Petrikovits 1981a,6,61,Food-Production,,one who grinds spelt
aluminarius,i,,Petrikovits 1981a,7,71,Fuel / Raw material,,worker or seller or alum (mineral)
ampullarius,i,,Petrikovits 1981a,8,89,Household Goods,,manufacturer of ampullae (small vessels from glass and leather)
anabolicarius,i,anabolicarius,Waltzing - Rome,9,98,Transport,Maritime/water transport,one day sailor
anaglitarius,i,,Petrikovits 1981b,1,16,Plastic Arts,,"relief maker, carver"
anaglypharius,i,,Petrikovits 1981b,1,16,Plastic Arts,,"relief maker, carver"
anaglyptarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,"relief maker, carver"
anellarius,i,,Petrikovits 1981b,8,88,Metal-Working,,ring maker
annellarius,i,,Petrikovits 1981a,8,88,Metal-Working,,ring maker
annonarius,i,annonarius,Waltzing - provinces,3,30,Managerial,,of or pertaining to provisions
anularius,i,anularius,Waltzing - Rome,8,88,Metal-Working,,maker of rings
apothecarius,i,apothecarius,Waltzing - Rome,4,43,Retail,,a warehouseman
apparator,oris,apparator,Waltzing - Rome,9,99,Miscellaneous Services,,one that prepares
applumbator,oris,,Petrikovits 1981a,7,72,Metal-Working,,"lead worker, solder"
adplumbator,oris,,Petrikovits 1981a,7,72,Metal-Working,,"lead worker, solder"
aquarius,i,aquarius,Waltzing - provinces,9,95,Water-Management,,"fountain worker, of water, watery, water carrier"
aquator,oris,aquator,Waltzing - provinces,9,97,Water-Management,,a water-carrier
arcarius,i,,Petrikovits 1981a,3,31,Finance,,"treasurer, a controller of public revenues"
archimagirus,i,,Petrikovits 1981a,5,53,Food-Production,,chef
architecton,nis,,Petrikovits 1981a,0,2,Building,,"a masterbuilder, architect"
architectus,i,,Petrikovits 1981a,0,2,Building,,"a master-builder, architect"
arcuarius,i,,Petrikovits 1981a,3,31,Finance,,"treasurer, a controller of public revenues"
arcularius,i,,Petrikovits 1981a,8,81,Household Goods,,"one that makes little boxes, chests"
arecarius,i,arecarius,Waltzing - provinces,0,4,Transport,Maritime/water transport,small boat owner
arenarius,i,arenarius,Waltzing - provinces,1,17,Performing Arts,,"harenarius, combatant in the amphitheatre, a gladiator"
argentarius,i,argentarius,Waltzing - Rome,8,88,Metal-Working,,"jewellery maker, banker"
armamentarius,i,,Petrikovits 1981a,5,58,Miscellaneous Services,Military,"an arsenal provider, armory keeper"
armamintarius,i,,Petrikovits 1981a,5,58,Miscellaneous Services,Military,"an arsenal provider, armory keeper"
