,Primary Key,Ancient Toponym,Modern Toponym,Province,Country,Barrington Atlas Rank,Barrington Atlas Reference,Start Date,End Date,Select Bibliography,Area,Estimate Basis,Civic Status,Structure,num_of_structures,geometry,ID,level_0,Unnamed: 0_y,index,pop_sample,pop_est,pop_diff,western_province,inscr_N,occups_list,occups_N,occups_unique_N,inscr_N_post235,occups_N_post235,ratio_post235,pop_est_log,inscr_N_log,occups_N_log,city_province,occups_cats_list,occups_cats_unique_N,occups_cats_vec,shares_vec,ZI,largest_cat,ZI_cat,ZIw,shares_weighted_vec,RZI,RZI_cat,RZIw,DI,DIw,DI/ZIw,Primary key,Name,Population,associations,inscriptions,D(N),West / East
0,Hanson2016_160,Acholla,Henchir Bou Tria,Africa Proconsularis,Tunisia,4 or 5,33 H2,-200,,BNP; Boatwright 2000; Bomgardner 2000; DGRG; Golvin 1988; Lepelley 1979-1981; PECS; Wilson 2011.,,,"['Municipium', 'Rights and privileges', 'Rights and privileges']","['Amphitheatre', 'Baths of Hadrian', 'Baths of the Marine Revel', 'Forum']",4,POINT (11.018733 35.07824),160,,,,,1000.0,,True,1.0,['curator'],1.0,1.0,1.0,1.0,1.0,6.907755278982137,0.0,0.0,Acholla (Africa Proconsularis),['Managerial'],1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1,Managerial,0.0,"[0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 4.2415507 0.        0.        0.        0.       ]",4.24155069582505,Managerial,0.0,1.0,0.0,0.0,160,,,,,,
1,Hanson2016_166,Avitta,Henchir Bou Ftis,Africa Proconsularis,Tunisia,3,32 E4,-50,,BNP; Boatwright 2000; Lepelley 1979-1981; Russell 1958.,48.0,Unspecified,"['Municipium', 'Rights and privileges']","['Baths', 'Baths']",2,POINT (9.705949 36.409022),166,,,,,7376.0,,True,7.0,"['possessor', 'faber']",2.0,2.0,2.0,0.0,0.2857142857142857,8.90598676523643,1.9459101490553132,0.6931471805599453,Avitta (Africa Proconsularis),"['Managerial', 'Unclassified']",2,[0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0],"[0.  0.  0.  0.  0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.5 0.  0.  0.
 0. ]",0.5,1,Unclassified,0.34657359027997264,"[0.         0.         0.         0.         5.0797619  0.
 0.         0.         0.         0.         0.         0.
 0.         0.         2.12077535 0.         0.         0.
 0.        ]",5.079761904761905,Unclassified,3.521022642201532,2.0,2.8853900817779268,5.7707801635558535,166,,,,,,
2,Hanson2016_172,Carthago,Tunis,Africa Proconsularis,Tunisia,1,32 F3,-49,,Bomgardner 2000; Brunt 1971; Cornell and Mathews 1982; Lepelley 1979-1981; MacMullen 2000; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Quinn and Wilson 2013; Russell 1958; Salmon 1969; Sear 2006; 1995; Wilson 2011; Woloch 1983.,343.0,Inhabited area,"['Colonia', 'Colonia', 'Colonia', 'Provincial capital', 'Rights and privileges', 'Rights and privileges']","['Amphitheatre', 'Amphitheatre', 'Aqueduct', 'Aqueduct', 'Aqueduct', 'Aqueduct (Zaghouan)', 'Baths', 'Baths (Antonine)', 'Baths (Bir el-Jabbana)', 'Capitolium', 'Fortified hill', 'Forum', 'Harbour', 'Hippodrome', 'Odeum', 'Temple', 'Theatre', 'Urban grid', 'Walls']",19,POINT (10.327685 36.851318),172,4.0,4.0,4.0,102170.0,102074.0,1.000940494151302,True,409.0,"['curator', 'mesor', 'mensor', 'agrimensor', 'medicus', 'medicus', 'mensor', 'argentarius']",8.0,6.0,21.0,0.0,0.05134474327628362,11.533453319421689,6.013715156042802,2.0794415416798357,Carthago (Africa Proconsularis),"['Managerial', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Metal-Working']",3,[1 0 0 6 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],"[0.125 0.    0.    0.75  0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.125 0.    0.    0.    0.   ]",0.75,6,Miscellaneous Services,1.5595811562598767,"[1.37114396 0.         0.         5.4058277  0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.53019384 0.         0.         0.
 0.        ]",5.405827702702703,Miscellaneous Services,11.241102692163672,1.6842105263157894,0.8099340580429268,1.0799120773905693,172,Carthago,102170.0,7.0,8445.0,84.68798105387803,West
3,Hanson2016_174,Cillium,Kasserine,Africa Proconsularis,Tunisia,3,33 C2,69,,Lepelley 1979-1981; PECS; Salmon 1969; Sear 2006; Wilson 2011.,31.0,Inhabited area,"['Colonia', 'Municipium']","['Aqueduct', 'Arch', 'Baths', 'Forum?', ""Temple ('capitolium')"", 'Temple of Jupiter and Ceres', 'Theatre', 'Urban grid']",8,POINT (8.799233000000001 35.167704),174,,,,,4113.0,,True,5.0,['aerarius'],1.0,1.0,2.0,0.0,0.4,8.321907968230423,1.6094379124341003,0.0,Cillium (Africa Proconsularis),['Metal-Working'],1,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1,Metal-Working,0.0,"[10.96915167  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.        ]",10.969151670951158,Metal-Working,0.0,1.0,0.0,0.0,174,,,,,,
4,Hanson2016_175,Clupea,Kelibia,Africa Proconsularis,Tunisia,4 or 5,32 H3,-310,,BNP; Brunt 1971; Cornell and Mathews 1982; DGRG; MacMullen 2000; PECS; Salmon 1969.,,,"['Colonia', 'Rights and privileges', 'Rights and privileges']","[""Temple ('capitolium')""]",1,POINT (11.099916 36.849616),175,,,,,1000.0,,True,2.0,['sartor'],1.0,1.0,2.0,1.0,1.0,6.907755278982137,0.6931471805599453,0.0,Clupea (Africa Proconsularis),['Miscellaneous Services'],1,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1,Miscellaneous Services,0.0,"[0.         0.         0.         7.20777027 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",7.20777027027027,Miscellaneous Services,0.0,1.0,0.0,0.0,175,,,,,,
5,Hanson2016_180,Lepcis Magna,Lebda,Africa Proconsularis,Libya,1,35 G2,-30,,Bomgardner 2000; Golvin 1988; Humphrey 1986; Lepelley 1979-1981; McEvedy 2011; Nelis-Clément and Roddaz 2008; PECS; Quinn and Wilson 2013; Russell 1958; Salmon 1969; Sear 2006; Wilson 2011; Woloch 1983.,466.0,Ramparts,"['Colonia', 'Colonia', 'Municipium', 'Rights and privileges']","['Amphitheatre', 'Aqueduct', 'Arch', 'Arch', 'Arch of Antoninus Pius', 'Arch of Marcus Aurelius', 'Arch of Septimius Severus', 'Arch of Trajan', 'Arch of Vespasian', 'Basilica', 'Baths', 'Baths', 'Baths', 'Baths (Hunting Baths)', 'Baths (Unfinished)', 'Baths of Hadrian', 'Chalcidium', 'Colonnaded streets', 'Curia', 'Forum (New)', 'Forum (Old)', 'Fountain', 'Fountain', 'Harbour', 'Hippodrome', 'Macellum', 'Nymphaeum', 'Ramparts', 'Sanctuary of Hercules / Melqart', 'Temple', 'Temple', 'Temple', 'Temple', ""Temple ('capitolium')"", 'Temple of Antoninus Pius', 'Temple of Augustus?', 'Temple of Ceres', 'Temple of Jupiter Dolichenus', 'Temple of Liber Pater', 'Temple of Magna Mater', 'Temple of Rome and Augustus', 'Theatre', 'Unidentified public building', 'Urban grid', 'Urban grid', 'Walls (Late Roman)']",46,POINT (14.29306 32.63833),180,,,,,153722.0,,True,310.0,"['marmorarius', 'ornatrix', 'marmorarius', 'ornator', 'structor', 'ornator', 'ornator', 'ornator', 'curator', 'ornator', 'forensis', 'curator', 'curator', 'curator', 'curator']",15.0,6.0,69.0,5.0,0.22258064516129034,11.94290105526289,5.736572297479192,2.70805020110221,Lepcis Magna (Africa Proconsularis),"['Building', 'Miscellaneous Services', 'Building', 'Miscellaneous Services', 'Building', 'Miscellaneous Services', 'Miscellaneous Services', 'Miscellaneous Services', 'Managerial', 'Miscellaneous Services', 'Managerial', 'Managerial', 'Managerial', 'Managerial', 'Managerial']",3,[0 0 0 6 0 0 0 0 0 0 3 0 0 0 6 0 0 0 0],"[0.  0.  0.  0.4 0.  0.  0.  0.  0.  0.  0.2 0.  0.  0.  0.4 0.  0.  0.
 0. ]",0.4,6,Miscellaneous Services,1.083220080440884,"[0.         0.         0.         2.88310811 0.         0.
 0.         0.         0.         0.         3.09202899 0.
 0.         0.         1.69662028 0.         0.         0.
 0.        ]",3.0920289855072465,Building,8.37336971601676,2.7777777777777772,1.0257482585245972,2.564370646311493,180,,,,,,
6,Hanson2016_182,Limisa,Ksar Lemsa,Africa Proconsularis,Tunisia,3,32 E4,100,,PECS; Quinn and Wilson 2013; Sear 2006.,,,"['Municipium', 'Rights and privileges']","['Amphitheatre', ""Temple ('capitolium')"", 'Theatre']",3,POINT (9.691873 36.035878),182,,,,,1000.0,,True,12.0,['conditor'],1.0,1.0,0.0,0.0,0.0,6.907755278982137,2.4849066497880004,0.0,Limisa (Africa Proconsularis),['Food-Production'],1,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],1.0,1,Food-Production,0.0,"[ 0.          0.          0.          0.          0.          0.
 20.91666667  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.        ]",20.916666666666668,Food-Production,0.0,1.0,0.0,0.0,182,,,,,,
7,Hanson2016_184,Mactaris,Mactar,Africa Proconsularis,Tunisia,3,33 D1,-50,,BNP; Bomgardner 2000; Lepelley 1979-1981; PECS; Quinn and Wilson 2013; Salmon 1969; Wilson 2011.,,,"['Colonia', 'Rights and privileges']","['Amphitheatre', 'Aqueduct', 'Arch of Trajan', 'Baths (East)', 'Baths (Large)', 'Baths (North)', 'Baths (South-East)', 'Forum (New)', 'Forum (Old)', 'Macellum?', 'Palaestra', ""Temple ('capitolium')"", 'Temple of Baal Hammon / Saturn', 'Temple of Bacchus', 'Temple of Ceres?', 'Temple of Hathor Miskar', 'Temple of Magna Mater?', 'Temple of Neptune?', 'Temple of Reshep? / Apollo and Diana', 'Temple of Rome and Augustus?', 'Temple of Shadrap / Liber Pater']",21,POINT (9.207183 35.853814),184,,,,,1000.0,,True,12.0,"['sagittarius', 'curator', 'curator']",3.0,2.0,2.0,0.0,0.16666666666666666,6.907755278982137,2.4849066497880004,1.0986122886681098,Mactaris (Africa Proconsularis),"['Metal-Working', 'Managerial', 'Managerial']",2,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0],"[0.33333333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.66666667 0.         0.         0.
 0.        ]",0.6666666666666666,2,Managerial,0.7324081924454064,"[3.65638389 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         2.82770046 0.         0.         0.
 0.        ]",3.6563838903170525,Metal-Working,4.016948273990424,1.7999999999999998,1.638430607928307,2.457645911892461,184,,,,,,
8,Hanson2016_191,Oea,Tripoli,Africa Proconsularis,Libya,2,35 F2,-27,,Lepelley 1979-1981; McEvedy 2011; PECS; Salmon 1969; Wilson 2011.,52.0,Walls,['Colonia'],"['Arch of Marcus Aurelius and Lucius Verus', 'Baths', 'Forum', 'Harbour', 'Temple of the Genius Coloniae', 'Urban grid', 'Walls']",7,POINT (13.187507 32.876174),191,,,,,8209.0,,True,19.0,['curator'],1.0,1.0,9.0,0.0,0.47368421052631576,9.012986392348266,2.9444389791664403,0.0,Oea (Africa Proconsularis),['Managerial'],1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1,Managerial,0.0,"[0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 4.2415507 0.        0.        0.        0.       ]",4.24155069582505,Managerial,0.0,1.0,0.0,0.0,191,,,,,,
9,Hanson2016_193,Pupput,Henchir Souk el Abiod,Africa Proconsularis,Tunisia,3,32 G4,100,,BNP; Bomgardner 2000; DGRG; Lepelley 1979-1981; PECS; Quinn and Wilson 2013; Salmon 1969.,,,['Colonia'],"['Amphitheatre', 'Aqueduct', 'Baths', 'Capitolium', 'Theatre']",5,POINT (10.562216 36.392998),193,,,,,1000.0,,True,1.0,['curator'],1.0,1.0,0.0,0.0,0.0,6.907755278982137,0.0,0.0,Pupput (Africa Proconsularis),['Managerial'],1,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1,Managerial,0.0,"[0.        0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 4.2415507 0.        0.        0.        0.       ]",4.24155069582505,Managerial,0.0,1.0,0.0,0.0,193,,,,,,
