city,pop. est.,N inscriptions,N occupations,N occ. in largest sector,N sectors,ZIw,largest sector
Augusta Vindelicum,10608,210,10,9,2,2.07,Retail
Alba Fucentia,4471,82,12,10,3,2.07,Managerial
Roma,923313,39882,1855,495,18,2.01,Managerial
Patavium,27923,175,17,12,3,2.0,Metal-Working
Carmo,7172,28,11,8,4,1.74,Miscellaneous Services
Minturnae,4471,106,9,7,3,1.71,Managerial
Aquinum,12445,392,37,17,8,1.66,Managerial
Beneventum,7172,242,35,16,8,1.63,Managerial
Frusino,1000,28,5,5,1,1.61,Managerial
Petuaria,1000,7,5,5,1,1.61,Metal-Working
